t,x,y
0,0.83085788,0.995005825
5,1.662004308,2.514460883
10,2.295555563,4.835779787
15,2.836955969,6.975759057
20,3.925532344,6.985271266
25,3.926170396,7.234819022
30,4.740869167,6.761400642
35,4.575126037,6.382281558
40,5.25884533,6.354483951
45,5.166443159,6.172399752
50,5.831765802,6.054907688
55,6.005970285,4.858649999
60,5.831074985,5.535255542
65,5.849257769,5.112985721
70,6.581911116,5.338826331
75,6.879834701,4.741573329
80,6.379934402,4.573589692
85,6.830239986,4.789316763
90,6.690810733,4.122056123
95,7.167088776,4.309578697
100,7.173573161,4.639416876
105,6.6341191,4.249001017
110,7.383158591,4.462982415
115,7.558535018,4.30669544
120,7.124620848,4.110274952
125,7.530826459,3.732522806
130,7.266396938,4.118340451
135,6.861002882,3.505620644
140,6.930548341,4.021897109
145,7.159066206,4.033834366
150,7.519612534,4.082366335
155,7.612985243,4.225528653
160,7.591845252,4.301384938
165,7.133123612,4.074300501
170,7.359835222,3.874564887
175,6.925538617,4.210736039
180,6.95592212,3.853100022
185,6.98809453,3.281707133
190,7.53712444,3.37829058
195,7.359515394,4.113721618
200,7.059208826,3.729655569
